Average,,,,E0,E1,Analog,,,,,,,,,,,
Index [1],exx [1] - engr.,eyy [1] - engr.,exy [1] - engr.,ΔL/L0 [0] Extensometer x-strain,ΔL/L0 [1] Extensometer y-strain,Time_0,Disp_mm,Load_N,Area,,Strain,Stress,,Possion,,,
88,0.000755589,-0.00295011,-0.000535643,-0.00262898,0.000994315,88.0052,-0.1765,-18806.1,,,0.00295011,347.4247183,,2.56E-01,,0.271667302,
89,0.000734822,-0.00295084,-0.00060354,-0.00262997,0.00098002,89.0058,-0.1788,-19095.9,,,0.00295084,352.7784962,,2.49E-01,,0.246373057,
90,0.000843345,-0.00296862,-0.000529651,-0.00269335,0.00105182,90.0062,-0.1808,-19363.3,,,0.00296862,357.7184556,,2.84E-01,,0.251634246,
91,0.000711729,-0.00305943,-0.000676157,-0.00278079,0.000978954,91.0031,-0.1828,-19627.4,,,0.00305943,362.5974506,,2.33E-01,,0.266056567,
92,0.000827274,-0.00309347,-0.000588243,-0.00277163,0.000981982,92.0045,-0.1849,-19888.3,,,0.00309347,367.4173287,,2.67E-01,,0.253799341,
93,0.000791094,-0.00305055,-0.000670439,-0.00275676,0.000981139,93.0044,-0.1871,-20184.6,,,0.00305055,372.8911879,,2.59E-01,,0.269978901,
94,0.000798846,-0.00310513,-0.000667366,-0.00277677,0.00105256,94.0028,-0.1893,-20455.1,,,0.00310513,377.8884168,,2.57E-01,,0.250364352,
95,0.000865748,-0.00318178,-0.000617964,-0.00285645,0.00108292,95.0046,-0.1912,-20741.8,,,0.00318178,383.1849252,,2.72E-01,,0.277871036,
96,0.000823249,-0.00312468,-0.000704732,-0.00281933,0.00108891,96.004,-0.1934,-20993,,,0.00312468,387.825605,,2.63E-01,,0.262579203,
97,0.000845728,-0.00326043,-0.000630224,-0.00292845,0.00107997,97.004,-0.1956,-21292.5,,,0.00326043,393.3585812,,2.59E-01,,0.246461486,
98,0.000850302,-0.00325216,-0.0006664,-0.00291985,0.00113278,98.0052,-0.1977,-21598.5,,,0.00325216,399.0116386,,2.61E-01,,0.258761655,
99,0.000827887,-0.00333724,-0.000712167,-0.00295111,0.00101113,99.0056,-0.1997,-21856.2,,,0.00333724,403.7723998,,2.48E-01,,0.250485618,
100,0.00103188,-0.00327919,-0.000474756,-0.00296639,0.00117606,100.007,-0.2018,-22165.3,,,0.00327919,409.4827268,,3.15E-01,,0.252701145,
101,0.00084545,-0.00332969,-0.000607176,-0.00305719,0.00108389,101.004,-0.2039,-22423,,,0.00332969,414.2434879,,2.54E-01,,0.265084269,
102,0.000872947,-0.00342505,-0.000575221,-0.00309463,0.0010647,102.005,-0.2059,-22703.2,,,0.00342505,419.419915,,2.55E-01,,0.269203755,
103,0.000893907,-0.00338338,-0.000686116,-0.00307317,0.00114986,103.005,-0.2082,-22986.6,,,0.00338338,424.6554591,,2.64E-01,,0.242187138,
104,0.000926141,-0.0034091,-0.000612009,-0.0031299,0.00114052,104.005,-0.2103,-23263.6,,,0.0034091,429.7727693,,2.72E-01,,0.247089105,
105,0.000869214,-0.00352804,-0.00075562,-0.00316255,0.00121617,105.002,-0.2123,-23556.7,,,0.00352804,435.1875115,,2.46E-01,,0.268950121,
106,0.000880818,-0.00350039,-0.000639562,-0.00322435,0.0011688,106.005,-0.2145,-23846.6,,,0.00350039,440.5431369,,2.52E-01,,0.261390935,
107,0.000925813,-0.00347976,-0.000703452,-0.00321558,0.00110576,107.006,-0.2168,-24110.7,,,0.00347976,445.4221319,,2.66E-01,,0.253685388,
108,0.000897904,-0.00353785,-0.0006504,-0.00324622,0.00120145,108.002,-0.2187,-24390.9,,,0.00353785,450.598559,,2.54E-01,,0.267809848,
109,0.000967383,-0.00358318,-0.000692333,-0.00327715,0.00117571,109.005,-0.2208,-24684,,,0.00358318,456.0133013,,2.70E-01,,0.253512252,
110,0.000896387,-0.00358033,-0.000726952,-0.00331154,0.00118338,110.003,-0.2229,-24967.4,,,0.00358033,461.2488454,,2.50E-01,,0.276916917,
111,0.00101471,-0.00365173,-0.000630375,-0.0033155,0.00123159,111.003,-0.2253,-25267,,,0.00365173,466.7836689,,2.78E-01,,0.26928311,
112,0.000965572,-0.00367726,-0.00049095,-0.00341069,0.00121142,112.006,-0.2273,-25524.6,,,0.00367726,471.5425827,,2.63E-01,,0.251607351,
113,0.000917793,-0.00372388,-0.000758249,-0.00343013,0.00118348,113.003,-0.2292,-25811.3,,,0.00372388,476.8390911,,2.46E-01,,0.272577617,
114,0.000979343,-0.00378473,-0.000794372,-0.00349366,0.00117556,114.005,-0.2317,-26085,,,0.00378473,481.8954369,,2.59E-01,,0.262900368,
115,0.000942124,-0.00376119,-0.000788206,-0.0034755,0.00125799,115.006,-0.2334,-26374.9,,,0.00376119,487.2510623,,2.50E-01,,0.260166,
116,0.000975621,-0.00386077,-0.000746177,-0.00353732,0.00133579,116.005,-0.2356,-26664.8,,,0.00386077,492.6066876,,2.53E-01,,0.24457381,
117,0.00102612,-0.00387092,-0.000770142,-0.00358184,0.00129182,117.003,-0.2377,-26957.9,,,0.00387092,498.0214299,,2.65E-01,,0.265500021,
118,0.00105018,-0.00390106,-0.000657658,-0.00357779,0.001357,118.005,-0.2399,-27234.8,,,0.00390106,503.1368927,,2.69E-01,,0.24200547,
119,0.000952476,-0.00393281,-0.000785222,-0.00364084,0.00130322,119.005,-0.2419,-27524.7,,,0.00393281,508.492518,,2.42E-01,,0.250875185,
120,0.000982535,-0.00397644,-0.000728872,-0.00372266,0.00134561,120.004,-0.2442,-27804.9,,,0.00397644,513.6689451,,2.47E-01,,0.269940917,
121,0.001077,-0.00400446,-0.000652396,-0.0036813,0.00130742,121.003,-0.2458,-28104.5,,,0.00400446,519.2037687,,2.69E-01,,0.25542495,
122,0.00105219,-0.00402535,-0.000698135,-0.00370541,0.00131726,122.003,-0.2482,-28371.8,,,0.00402535,524.1418807,,2.61E-01,,0.230387332,
123,0.00102083,-0.004024,-0.000742395,-0.00373796,0.00131686,123.004,-0.2504,-28681,,,0.004024,529.8540551,,2.54E-01,,0.259607298,
124,0.00108903,-0.00406643,-0.000706766,-0.00377878,0.00135806,124.007,-0.2524,-28974.1,,,0.00406643,535.2687973,,2.68E-01,,0.260778221,
125,0.00104209,-0.00411061,-0.000840375,-0.00382074,0.0012457,125.004,-0.2547,-29244.6,,,0.00411061,540.2660262,,2.54E-01,,0.248941595,
126,0.00116875,-0.00422058,-0.000644732,-0.00380293,0.00131366,126.009,-0.2567,-29505.5,,,0.00422058,545.0859043,,2.77E-01,,0.267497624,
127,0.00112395,-0.00417386,-0.00072145,-0.00384708,0.00139185,127.005,-0.2588,-29805,,,0.00417386,550.6188805,,2.69E-01,,0.239236558,
128,0.00107305,-0.00426478,-0.000822448,-0.00391767,0.00132222,128.004,-0.2609,-30082,,,0.00426478,555.7361907,,2.52E-01,,0.243469701,
129,0.00115574,-0.00424004,-0.000724574,-0.00396578,0.00140918,129.005,-0.263,-30362.2,,,0.00424004,560.9126178,,2.73E-01,,0.244863683,
130,0.0011337,-0.00431228,-0.000658149,-0.00396702,0.00137419,130.003,-0.2652,-30629.5,,,0.00431228,565.8507297,,2.63E-01,,0.246867233,
131,0.00114536,-0.00440242,-0.00071246,-0.00403632,0.00141734,131.006,-0.2674,-30954.8,,,0.00440242,571.8603362,,2.60E-01,,0.243713612,
132,0.00106124,-0.00433914,-0.000740045,-0.00399073,0.00140905,132.005,-0.2694,-31225.4,,,0.00433914,576.8594125,,2.45E-01,,0.263072412,
133,0.00116109,-0.00437322,-0.000797181,-0.00409099,0.00138601,133.004,-0.2714,-31524.9,,,0.00437322,582.3923887,,2.66E-01,,0.255531212,
134,0.00106805,-0.00441333,-0.000928585,-0.00411982,0.00142768,134.007,-0.2738,-31782.6,,,0.00441333,587.1531498,,2.42E-01,,0.258897728,
135,0.00111365,-0.00443906,-0.000800484,-0.00412922,0.00141077,135.003,-0.2757,-32104.7,,,0.00443906,593.1036394,,2.51E-01,,0.257858848,
136,0.00121258,-0.00449202,-0.000761365,-0.00414422,0.0014528,136.006,-0.2779,-32388.1,,,0.00449202,598.3391834,,2.70E-01,,0.283283497,
137,0.00115625,-0.00452677,-0.000855616,-0.00417471,0.00149734,137.004,-0.2799,-32671.5,,,0.00452677,603.5747275,,2.55E-01,,0.236528141,
138,0.00106268,-0.00461258,-0.000901807,-0.00425869,0.00150108,138.005,-0.282,-32971.1,,,0.00461258,609.1095511,,2.30E-01,,0.263848871,
139,0.00119153,-0.00458974,-0.000793027,-0.00432117,0.00153445,139.006,-0.2842,-33212.6,,,0.00458974,613.5710327,,2.60E-01,,0.247402937,
140,0.00121271,-0.00465035,-0.000777691,-0.0042987,0.00151168,140.002,-0.2863,-33531.5,,,0.00465035,619.4624053,,2.61E-01,,0.258095596,
141,0.00114427,-0.00459654,-0.000786815,-0.00428153,0.00152282,141.008,-0.2884,-33840.7,,,0.00459654,625.1745797,,2.49E-01,,0.254586341,
142,0.00124946,-0.00467092,-0.000800082,-0.00434054,0.00153672,142.002,-0.2904,-34101.6,,,0.00467092,629.9944578,,2.67E-01,,0.2727132,
143,0.00113451,-0.00474221,-0.000838627,-0.00438865,0.00152723,143.001,-0.2925,-34385,,,0.00474221,635.2300018,,2.39E-01,,0.25108616,
144,0.00115503,-0.00474404,-0.000844266,-0.00444032,0.00158621,144.005,-0.2947,-34674.9,,,0.00474404,640.5856272,,2.43E-01,,0.252604893,
145,0.00116489,-0.0047573,-0.00099964,-0.00447592,0.00150757,145.006,-0.2968,-34951.8,,,0.0047573,645.70109,,2.45E-01,,0.267321615,
146,0.00118695,-0.00480805,-0.000813238,-0.00449975,0.00153367,146.004,-0.299,-35232,,,0.00480805,650.8775171,,2.47E-01,,0.273777315,
147,0.0011679,-0.0047921,-0.000829156,-0.00447959,0.00156546,147.006,-0.3012,-35528.4,,,0.0047921,656.3532237,,2.44E-01,,0.269141493,
148,0.00128931,-0.00490097,-0.000840664,-0.00458523,0.00159538,148.003,-0.3031,-35827.9,,,0.00490097,661.8861999,,2.63E-01,,0.26235173,
149,0.00125497,-0.00491122,-0.000757509,-0.00459932,0.0015857,149.004,-0.3053,-36085.6,,,0.00491122,666.646961,,2.56E-01,,0.256686704,
150,0.00127707,-0.00493272,-0.000828392,-0.00460947,0.00159442,150.004,-0.3072,-36385.1,,,0.00493272,672.1799372,,2.59E-01,,0.24952566,
151,0.00128612,-0.00498769,-0.000791003,-0.00466405,0.00163012,151.004,-0.3095,-36732.9,,,0.00498769,678.6052097,,2.58E-01,,0.255571213,
152,0.00140497,-0.00495959,-0.000808085,-0.004651,0.00172502,152.004,-0.3115,-36948.7,,,0.00495959,682.5919084,,2.83E-01,,0.259655104,
153,0.0012028,-0.00508523,-0.0010044,-0.00476663,0.00169722,153.003,-0.3137,-37257.9,,,0.00508523,688.3040828,,2.37E-01,,0.252685273,
154,0.00133788,-0.00507063,-0.0008762,-0.00474871,0.00166896,154.005,-0.3159,-37534.9,,,0.00507063,693.4213929,,2.64E-01,,0.238878595,
155,0.00125699,-0.00508074,-0.000914883,-0.00477522,0.00166118,155.004,-0.3179,-37837.7,,,0.00508074,699.0153335,,2.47E-01,,0.26272364,
156,0.00132601,-0.00513767,-0.000789713,-0.00484367,0.00167446,156.006,-0.3201,-38121.1,,,0.00513767,704.2508775,,2.58E-01,,0.242256455,
157,0.001311,-0.00514953,-0.000867795,-0.00479163,0.00171244,157.003,-0.3221,-38394.9,,,0.00514953,709.3090708,,2.55E-01,,0.252024207,
158,0.00140933,-0.00516781,-0.000803252,-0.00483488,0.00170421,158.008,-0.3243,-38684.7,,,0.00516781,714.6628487,,2.73E-01,,0.239727985,
159,0.00130148,-0.0051834,-0.00100889,-0.00488191,0.00170313,159.006,-0.3263,-38964.9,,,0.0051834,719.8392758,,2.51E-01,,0.258576302,
160,0.00132223,-0.00523438,-0.000829503,-0.00494061,0.00173708,160.004,-0.3285,-39261.3,,,0.00523438,725.3149824,,2.53E-01,,0.24216024,
161,0.00142746,-0.00533986,-0.00085912,-0.00500842,0.00175342,161.003,-0.3306,-39557.6,,,0.00533986,730.7888417,,2.67E-01,,0.243345024,
162,0.00145511,-0.00531494,-0.000896178,-0.00501259,0.00172121,162.005,-0.3327,-39828.1,,,0.00531494,735.7860706,,2.74E-01,,0.258748354,
163,0.00145633,-0.00541102,-0.000835311,-0.00503863,0.00170197,163.002,-0.3348,-40108.3,,,0.00541102,740.9624977,,2.69E-01,,0.254368347,
